TEMP,pH,Conc
26.17,6,9.28568
21.53,6.5,6.24955
32.65,6,11.5524
35.07,3,2.70686
32.84,6.5,9.13176
39.34,2,2.39532
23.44,5,7.34752
48.44,5,11.81236
34.44,3,2.64512
36.13,8,7.67343
30.2,4.5,4.6708
45.67,6,15.47184
32.05,8,6.81255
45.94,7,10.25408
35.55,7,8.44472
36.73,3,2.86954
36.37,7,8.63365
34.02,8,7.22822
23.42,4.5,4.53498
47.33,3,4.01829
37.86,6,13.71976
43.48,7,9.92936
23,6,8.322
27.81,7,6.59529
22.27,8,3.83683
41.99,7,9.73268
22.66,5,7.04878
49.58,8,9.89826
46.91,6.5,12.05718
22.55,2,0.3774
24.37,7,5.69882
24.28,3,0.94588
49.94,8,9.95118
30.01,7,7.1683
21.01,3,0.22321
45.42,4.5,5.70406
44.1,8,9.0927
34.49,6,12.31784
24.54,7,5.74312
35.73,6,12.83368
25.82,8,5.00478
29.87,8,6.33723
33.13,2,1.78674
42.33,2,2.60679
41.05,7,9.6086
35.41,7,8.41246
32.78,2,1.75244
45.43,4.5,5.70499
33.51,4.5,4.84954
23.73,6,8.54392
32.87,5,10.25319
38.48,5,11.02176
20.16,2,0.02368
49.37,7,10.70684
20.48,7,4.68509
40.71,3,3.27023
30.83,3,2.29134
48.98,6.5,12.26004
32.18,6.5,8.92452
42.01,8,8.78547
25.56,7,6.00894
23.22,2,0.47656
21.08,2,0.15984
47.43,8,9.58221
31.76,7,7.5715
50,6.5,12.36
46.99,6.5,12.06502
27.28,3,1.60888
41.07,4.5,5.29951
42.93,5,11.43217
42.75,6,15.028
40.11,6.5,11.39078
34.15,6,12.1764
29.99,6,10.44696
41.05,6,14.7696
36.25,4.5,4.9975
46.87,6,15.65424
45.06,3,3.76178
35.09,2,1.97882
27.18,7,6.43111
45.99,8,9.37053
46.14,6,15.54328
35.29,4.5,4.94566
43.82,5,11.49358
34.91,3,2.69118
32.92,8,6.99612
34.61,3,2.66178
46.8,2,2.8884
39.4,2,2.4012
21.62,6.5,6.2707
33.55,2,1.8279
39.59,7,9.37554
30.17,6,10.52072
38.09,4.5,5.09686
38.06,3,2.99988
36.72,5,10.78064
27.26,3,1.60446
30.63,5,9.94631
28.84,2,1.30832
32.88,7,7.82955
32.69,6,11.56904
41.18,6,14.78936
24.44,8,4.55076
28.43,8,5.86347
33.73,8,7.16703
43.39,2,2.67357
37.13,7,8.80875
39.77,2,2.43746
33.74,8,7.16914
37.94,5,10.94778
47.44,6.5,12.10912
42.25,8,8.82075
41.64,6.5,11.54072
41.45,6,14.8304
34.18,6.5,9.55252
39.38,6,14.35208
20.22,2,0.03256
47.28,6.5,12.09344
44.23,4.5,5.59339
43.1,8,8.9457
33.38,6.5,9.30132
34.46,4.5,4.90084
47.69,3,4.05897
43.84,6,15.19368
35.38,2,2.00724
34.19,6,12.19304
34.48,6.5,9.64672
46.52,3,3.92676
30.71,6.5,8.46294
23.13,6,8.36152
20.93,6,7.69272
37.3,6,13.4868
34.11,2,1.88278
21.91,6.5,6.33885
41.7,4.5,5.3581
34.61,6,12.36776
26.26,5,8.42758
49.8,5,11.9062
41.18,4.5,5.30974
39.84,3,3.17432
23.05,7,5.35483
32.35,8,6.87585
38.55,5,11.03135
40.45,5,11.26105
37.14,2,2.17972
21.4,8,3.5506
40.85,6.5,11.4633
28.02,5,9.10166
27.09,4.5,4.60471
20.49,5,6.21767
30.83,6.5,8.50062
38.31,6.5,10.84934
26.5,6.5,7.4175
34.78,8,7.38858
20.37,3,0.08177
30.02,2,1.48196
24.01,5,7.56583
44.87,6,15.35024
36.94,3,2.89012
35.71,5,10.64227
26.55,7,6.26693
35.17,6,12.60072
21.1,8,3.4519
39.53,4.5,5.17462
23.6,3,0.7956
41.04,4.5,5.29672
36.81,7,8.73502
21.97,5,6.78451
35.38,7,8.40555
36.82,5,10.79434
31.41,7,7.49086
34.62,8,7.35482
40,6,14.61
24.42,2,0.65416
37.61,4.5,5.07094
46.16,3,3.88608
23.15,4.5,4.52985
22.42,5,6.95686
31.86,8,6.77246
46.12,3,3.88156
23.65,6,8.5196
32.42,8,6.89062
22.1,4.5,4.5099
34.36,6.5,9.60904
20.8,3,0.1768
37.75,6.5,10.6735
31.73,6.5,8.78322
29.52,7,7.04091
32.2,5,10.1614
23.22,6.5,6.6467
43.63,3,3.60019
23.57,7,5.49034
37.69,5,10.91353
43.06,7,9.87392
43.91,6.5,11.76318
45.59,8,9.31173
24.01,3,0.88621
43.73,3,3.61149
33.77,5,10.37649
36.89,2,2.15522
39.59,5,11.17383
45.31,2,2.79453
46.99,7,10.39268
48.48,2,2.99424
24.99,6,8.92696
27.04,6,9.55016
27.43,6.5,7.63605
41.28,8,8.67816
26.16,2,0.91168
40.57,8,8.57379
39.47,6.5,11.21358
38.8,5,11.0656
39.86,4.5,5.19244
43.4,5,11.4646
36.93,6,13.33288
27.26,2,1.07448
37.04,5,10.82448
39.39,6.5,11.18846
28.88,6,10.10952
47.07,6.5,12.07286
47.36,2,2.92368
44.3,3,3.6759
23.32,8,4.18228
27.08,4.5,4.60452
28.49,3,1.87629
39.13,3,3.10474
36.69,7,8.70738
20.33,6,7.51032
35.17,6.5,9.86338
49.84,8,9.93648
46.6,4.5,5.8138
21.22,2,0.18056
46.76,5,11.69644
31.04,6,10.88264
43.12,3,3.54256
37.65,6.5,10.6421
26.22,4.5,4.58818
39.4,5,11.1478
20.13,3,0.02873
24.03,6.5,6.83705
34.6,6,12.3636
27.55,5,8.92165
30.57,7,7.29733
42.04,6.5,11.57992
25.2,8,4.8008
47.17,8,9.54399
29.35,7,6.99661
40.88,3,3.28944
38.25,3,3.0185
29.34,7,6.994
44.62,6,15.31224
26.77,3,1.49617
38.91,6,14.15656
20.74,5,6.31342
39.22,8,8.32542
43.75,2,2.69625
22.49,2,0.36852
41.69,6.5,11.54562
33.69,4.5,4.85926
20.43,6,7.54072
49.7,6.5,12.3306
34.36,5,10.45732
36.02,3,2.79996
35.33,2,2.00234
20.23,7,4.61994
43.45,2,2.67735
30.41,3,2.25018
31.48,6.5,8.70472
43.18,7,9.88976
24.47,3,0.98787
29.58,2,1.41784
20.03,2,0.00444
31.38,7,7.48395
48.77,2,3.01251
22.52,5,6.99516
30.51,7,7.2835
21.17,6.5,6.16495
26.32,5,8.45056
38.74,4.5,5.13196
29.57,6.5,8.13895
35.23,6.5,9.88222
32.53,8,6.91383
43.63,8,9.02361
41.17,7,9.62444
32.19,7,7.67058
26.09,7,6.14705
48.52,3,4.15276
27.92,3,1.75032
42.47,7,9.79604
44.42,2,2.73846
37.01,4.5,5.03854
26.81,6,9.48024
40.08,4.5,5.20744
21.31,2,0.19388
28.78,4.5,4.63682
40.51,5,11.26519
20.16,8,3.14264
43.97,2,2.71011
22.44,3,0.53924
43.92,5,11.50048
40.38,5,11.25622
28.8,2,1.3024
40.56,2,2.49528
32.63,3,2.46774
48.21,8,9.69687
31.43,6.5,8.68902
49.1,5,11.8579
41.57,2,2.55891
25.25,5,8.04075
49.71,5,11.89999
49.76,5,11.90344
23.05,5,7.19815
31.92,4.5,4.76368
20.26,4.5,4.47494
25.82,5,8.25906
48.86,7,10.63952
21.5,6,7.866
26.61,6,9.41944
34.63,5,10.49431
22.38,2,0.35224
22.16,6,8.06664
49,3,4.207
43.99,5,11.50531
23.73,5,7.45859
21.39,2,0.20572
25.41,6.5,7.16135
24.56,8,4.59024
38.64,3,3.05672
40.77,6,14.72704
29.26,4.5,4.64594
38.64,2,2.32672
32.11,6,11.32776
46.33,5,11.66677
20.34,3,0.07514
29.92,5,9.82936
30.28,3,2.23744
48.82,5,11.83858
42.54,2,2.62002
25.58,4.5,4.57602
34.63,4.5,4.91002
45.25,6,15.408
36.84,4.5,5.02936
26.22,7,6.18093
46.84,2,2.89092
31.9,4.5,4.7626
43.87,8,9.05889
40.19,8,8.51793
49.82,8,9.93354
39.83,5,11.20671
29.35,6,10.2524
24.23,4.5,4.55037
20.63,8,3.29727
47.55,2,2.93565
41.19,2,2.53497
46.55,8,9.45285
48.15,4.5,5.95795
30.76,3,2.28448
43.57,5,11.47633
22.94,6,8.30376
23.17,5,7.24411
49.78,6.5,12.33844
40.63,6,14.70576
45.58,7,10.20656
45.46,6,15.43992
45.01,5,11.57569
42.12,4.5,5.39716
31.03,4.5,4.71562
37.4,4.5,5.0596
24.78,2,0.70744
31.59,7,7.53234
41.4,8,8.6958
22.58,8,3.93882
36.55,6.5,10.2967
29.74,2,1.44152
30.71,7,7.32958
47.3,8,9.5631
33.94,6.5,9.47716
45.54,4.5,5.71522
43.81,5,11.49289
44.25,6.5,11.7965
39.22,7,9.29029
22.87,5,7.12921
32.19,3,2.42462
44.09,5,11.51221
26.57,7,6.27214
32.52,3,2.45696
20.98,7,4.81539
33.53,6,11.91848
33.27,5,10.30799
38.39,6,13.94024
38.81,5,11.06697
43.91,2,2.70633
26.08,2,0.89984
37.3,2,2.1954
48.97,2,3.02511
42.49,5,11.40181
22.81,7,5.29229
26.43,7,6.23566
29.15,3,2.02215
27.61,8,5.59369
48.8,6.5,12.2424
49.25,4.5,6.06025
24.11,4.5,4.54809
35.08,7,8.33643
43.79,8,9.04713
21.28,3,0.28288
41.5,7,9.668
21.96,7,5.07078
27.58,6,9.71432
48.14,8,9.68658
25.15,2,0.7622
23.08,5,7.20964
35.15,3,2.7147
32.78,6.5,9.11292
24.21,4.5,4.54999
41.75,3,3.38775
36.52,6,13.16232
42.21,6.5,11.59658
33.79,6,12.02664
48.96,2,3.02448
49.84,2,3.07992
25.56,5,8.15948
41.94,6.5,11.57012
35.19,5,10.57103
27.53,5,8.91399
43.85,8,9.05595
35.04,8,7.44344
32.57,6,11.51912
37.68,8,8.00048
25.54,6.5,7.1919
20,6,7.41
44.54,3,3.70302
34.91,7,8.29726
26.11,2,0.90428
28.35,8,5.83715
44.47,5,11.53843
45.69,6,15.47488
49.63,4.5,6.09559
32.53,6.5,9.03442
25.39,4.5,4.57241
47.36,3,4.02168
49.36,2,3.04968
24.83,8,4.67907
35.97,3,2.79506
24.57,3,1.00997
37.29,5,10.85873
24.51,7,5.73531
36.75,7,8.7212
28.29,4.5,4.62751
32.51,3,2.45598
32.95,6.5,9.1663
31.66,2,1.64268
43.36,2,2.67168
20.62,2,0.09176
32.46,4.5,4.79284
29.73,4.5,4.65487
35.92,6,12.91272
44.97,6.5,11.86706
24.72,5,7.83776
31.04,2,1.58192
41.94,8,8.77518
36.42,4.5,5.00668
34.59,4.5,4.90786
46.83,2,2.89029
43.26,6.5,11.69948
34.76,3,2.67648
33.72,2,1.84456
45.29,5,11.59501
47.5,3,4.0375
31.17,4.5,4.72318
20.78,6.5,6.0733
43.47,2,2.67861
48.92,8,9.80124
37.13,2,2.17874
21.97,8,3.73813
39.7,5,11.1889
42.64,7,9.81848
36.25,7,8.606
23.08,7,5.36265
42.24,7,9.76568
47.55,5,11.75095
41.31,8,8.68257
27.52,3,1.66192
21.57,2,0.23236
41.63,2,2.56269
42.25,6,14.952
32.79,6,11.61064
27.77,2,1.14996
41.11,2,2.52993
45.1,7,10.1432
46.69,8,9.47343
46.6,7,10.3412
40.64,2,2.50032
29.94,8,6.36026
39.93,5,11.22041
33.26,7,7.9171
42.47,6.5,11.62206
36.48,6.5,10.27472
48.29,6.5,12.19242
25.14,5,7.99862
44.21,2,2.72523
28.1,7,6.67086
39.27,4.5,5.16058
39.2,2,2.3816
23.28,3,0.72488
37.02,3,2.89796
30.81,2,1.55938
43.52,5,11.47288
47.45,6,15.7424
25.27,5,8.04841
34.66,7,8.23966
36.47,5,10.74639
24.49,4.5,4.55531
27.96,6.5,7.7606
29.75,3,2.15475
36.49,3,2.84602
48.22,3,4.11886
31.24,4.5,4.72696
24.9,5,7.9067
43.08,2,2.65404
39.9,7,9.44696
27.36,3,1.62656
23.68,3,0.81328
30.52,7,7.28581
37.33,2,2.19834
21.15,8,3.46835
36.45,3,2.8421
39.86,6.5,11.33604
35.76,8,7.59536
45.73,4.5,5.73289
22.81,3,0.62101
29.01,2,1.33348
44.84,5,11.56396
27.35,4.5,4.60965
35.94,6.5,10.10516
46.21,4.5,5.77753
43.26,5,11.45494
28.15,6,9.8876
46.58,6.5,12.02484
41.09,6.5,11.48682
42.53,7,9.80396
25.04,2,0.74592
44.63,5,11.54947
42.12,3,3.42956
28.47,3,1.87187
42.66,6,15.01432
42.35,7,9.7802
49.89,2,3.08307
26.72,4.5,4.59768
34.59,2,1.92982
29.28,7,6.97837
46.32,8,9.41904
27.2,3,1.5912
30.48,5,9.92576
31.5,7,7.5116
41.79,4.5,5.36647
24.33,2,0.64084
43.59,3,3.59567
26.08,6,9.25832
44.85,5,11.56465
27.59,6.5,7.67365
25.32,4.5,4.57108
20.34,6,7.51336
42.44,2,2.61372
26.59,3,1.45639
48.54,2,2.99802
26.35,7,6.21481
45.78,8,9.33966
26.83,8,5.33707
28.7,2,1.2876
41.8,7,9.7076
38.15,6,13.8404
31.47,4.5,4.73938
32.11,3,2.41678
37.73,6,13.66568
22.5,6,8.17
47.73,7,10.49036
45.95,7,10.2554
27.62,4.5,4.61478
29.62,6.5,8.1507
46.19,8,9.39993
30.65,2,1.5437
45.25,2,2.79075
39.48,4.5,5.17192
28.11,4.5,4.62409
40.96,2,2.52048
39.77,8,8.44147
34.25,6.5,9.5745
36,7,8.5484
24.24,2,0.62752
37.36,8,7.93296
28.01,8,5.72529
34.69,6,12.40104
46.96,7,10.38872
27.18,6.5,7.5773
29.75,5,9.76425
21,4.5,4.489
48.12,2,2.97156
28.88,4.5,4.63872
30.1,6.5,8.2714
46.9,8,9.5043
31.62,7,7.53925
29.1,2,1.3468
46.93,6.5,12.05914
49.13,2,3.03519
21.97,7,5.07338
35.02,3,2.70196
26.81,4.5,4.59939
48.44,6,15.89288
33.51,6,11.91016
22.49,3,0.55029
47.92,3,4.08496
34.74,6,12.42184
44.18,7,10.02176
20.87,6.5,6.09445
25.73,2,0.84804
49.98,3,4.31774
28.61,2,1.27428
33.9,5,10.3943
27.21,5,8.79143
21.62,8,3.62298
22.47,3,0.54587
41.42,6.5,11.51916
26.6,7,6.27996
36.59,2,2.12582
46.87,4.5,5.83891
39.04,3,3.09592
33.1,2,1.7838
36.5,8,7.7515
41.96,8,8.77812
33.55,5,10.34635
46.85,8,9.49695
46.45,6.5,12.0121
25.32,7,5.94639
34.31,3,2.63238
22.11,5,6.83813
21.27,6.5,6.18845
39.56,6,14.42696
31.91,8,6.78301
21.76,5,6.70408
46.63,6.5,12.02974
25.86,4.5,4.58134
35.68,6,12.81288
44.44,3,3.69172
26.58,5,8.55014
49.01,5,11.85169
27.49,5,8.89867
40.15,4.5,5.21395
43.99,4.5,5.57107
30.51,5,9.92987
31.21,6.5,8.61994
47.27,8,9.55869
47.4,2,2.9262
25.65,3,1.24865
40.11,8,8.50617
42.83,4.5,5.46319
36.1,6.5,10.1554
44.43,5,11.53567
23.22,7,5.39913
47.98,3,4.09174
30.68,8,6.52348
25.16,6.5,7.1026
45.61,3,3.82393
34.3,6.5,9.5902
36.91,7,8.75806
45.73,8,9.33231
26.9,4.5,4.6011
24.38,6.5,6.9193
31.62,4.5,4.74748
39.59,8,8.40349
39.27,6,14.30632
20.52,2,0.07696
35.37,6,12.68392
29.44,6,10.27976
44.76,5,11.55844
47.2,6,15.7044
29.85,6,10.4044
23.86,6,8.58344
30.23,6.5,8.31222
34.09,4.5,4.88086
31.09,5,10.00933
24.88,5,7.89904
32.76,7,7.8019
42.44,6,14.98088
36.03,6.5,10.13342
33.19,8,7.05309
23.59,6.5,6.73365
32.54,7,7.75122
34.59,5,10.48883
21.86,6,7.97544
34.39,6,12.27624
29.27,7,6.97576
26.1,7,6.14966
44.02,8,9.08094
44.75,8,9.18825
36.29,7,8.61522
36.61,6,13.19976
29.36,5,9.61488
31.89,4.5,4.76206
25.4,7,5.96724
35.66,3,2.76468
47.42,5,11.74198
40.5,5,11.2645
44.65,7,10.0838
45.02,5,11.57638
43.67,5,11.48323
27.79,7,6.59007
32.36,5,10.18332
38.77,8,8.23047
48.29,5,11.80201
47.28,6,15.71656
36.76,8,7.80636
43.85,6,15.1952
49.88,3,4.30644
21.68,8,3.64272
25.32,6,9.02728
47.97,7,10.52204
39.49,5,11.16013
26.57,5,8.54631
41.54,3,3.36402
44.93,6.5,11.86314
42.62,5,11.41078
24.55,3,1.00555
43.74,5,11.48806
41.72,2,2.56836
25.01,2,0.74148
22.32,6.5,6.4352
33.94,4.5,4.87276
42.16,6,14.93832
40.06,4.5,5.20558
49.27,8,9.85269
47.83,5,11.77027
40.17,7,9.49244
31.31,6.5,8.65134
24.97,6.5,7.05795
45.4,4.5,5.7022
36.08,2,2.07584
22.82,7,5.29489
26.31,2,0.93388
44.71,5,11.55499
42.98,6,15.06296
40.24,5,11.24656
28.11,5,9.13613
40.51,6.5,11.42998
38.82,6.5,11.00948
33.33,8,7.08263
28.2,2,1.2136
20.79,6,7.65016
33.26,3,2.52948
40.79,6,14.73008
38.47,6,13.97352
44.55,6.5,11.8259
38.79,5,11.06423
25.63,6.5,7.21305
33.35,6,11.8436
26.03,8,5.07387
49.8,6,16.0996
45.23,5,11.59087
31.8,2,1.6564
43.42,6,15.12984
27.16,3,1.58236
49.68,6,16.08136
42.95,6.5,11.6691
49.18,7,10.68176
35.72,6,12.82952
32.96,4.5,4.81984
38.63,6,14.04008
20.85,4.5,4.48615
36.09,6,12.98344
34.01,4.5,4.87654
37.14,8,7.88654
37.95,8,8.05745
30.91,3,2.29918
28.21,7,6.69953
32.64,2,1.73872
28.98,4.5,4.64062
30.23,6,10.54568
26.56,5,8.54248
28.67,4.5,4.63473
43.47,7,9.92804
28.7,6,10.0548
24.9,7,5.83694
26.2,6.5,7.347
31.83,6.5,8.81462
47.46,6.5,12.11108
45.06,6.5,11.87588
45.66,6,15.47032
44.28,3,3.67364
40.28,6.5,11.40744
38.2,6.5,10.8148
32.72,6,11.58152
35.55,4.5,4.9597
22.43,8,3.88947
40.6,4.5,5.2558
32.75,4.5,4.8085
40.47,3,3.24311
48,3,4.094
34.88,3,2.68824
44.34,6,15.26968
49.37,3,4.24881
29.86,7,7.12952
47.33,6.5,12.09834
26.53,5,8.53099
33.85,8,7.19235
31.08,2,1.58584
35.07,2,1.97686
21.03,4.5,4.48957
40.08,6,14.62216
47.08,7,10.40456
40.21,3,3.21373
24.21,5,7.64243
26.27,6.5,7.36345
26.21,3,1.37241
47.01,5,11.71369
44.53,8,9.15591
24.3,2,0.6364
33.47,4.5,4.84738
36.93,6.5,10.41602
23.37,2,0.49876
23.75,6.5,6.77125
42.54,5,11.40526
32.88,6,11.64808
37.67,8,7.99837
35.25,7,8.3756
38.3,8,8.1313
46.66,5,11.68954
29.16,7,6.9471
49.65,6,16.0768
42.66,8,8.88102
31.15,6,10.9284
27.67,3,1.69507
25.91,4.5,4.58229
43.44,6,15.13288
32.74,4.5,4.80796
32.23,5,10.16551
37.86,5,10.93682
28.17,8,5.77793
41.14,5,11.30866
26.03,6,9.24312
40.73,8,8.59731
43.04,2,2.65152
22.68,3,0.59228
41.01,8,8.63847
26.82,6.5,7.4927
28.01,4.5,4.62219
29.37,4.5,4.64803
36.96,3,2.89208
49.72,6.5,12.33256
36.95,2,2.1611
47.76,3,4.06688
42.25,5,11.38525
45.21,7,10.15772
23.39,2,0.50172
45.71,6.5,11.93958
31.28,8,6.65008
34.57,6.5,9.67498
42.75,7,9.833
36.17,7,8.58757
36.83,6.5,10.38462
32.71,6,11.57736
35.3,2,1.9994
25.25,2,0.777
25.96,2,0.88208
20.14,6.5,5.9229
33.37,2,1.81026
39.88,8,8.46468
45.89,8,9.35583
46.98,6.5,12.06404
40.96,6,14.75592
20.51,3,0.11271
38.34,7,9.08754
38.04,6.5,10.76456
36.29,4.5,4.99966
29.13,7,6.93928
29.12,8,6.09048
22.6,8,3.9454
27.38,3,1.63098
47.48,6.5,12.11304
42.17,8,8.80899
25.36,6,9.03944
23.68,6.5,6.7548
22.04,4.5,4.50876
20.48,3,0.10608
29.1,5,9.5153
32.34,6.5,8.97476
32.39,3,2.44422
30.12,2,1.49176
39.81,4.5,5.18974
49.12,4.5,6.04816
43.48,8,9.00156
47.77,3,4.06801
40.14,4.5,5.21302
24.51,2,0.66748
30.32,5,9.90384
39.56,5,11.16972
44.38,2,2.73594
23.53,8,4.25137
49.52,8,9.88944
30.51,6,10.66216
44.89,4.5,5.65477
25.86,2,0.86728
48.46,6,15.89592
26.45,6,9.3708
41.97,7,9.73004
32.62,3,2.46676
27.61,4.5,4.61459
37.12,7,8.80645
46.39,4.5,5.79427
24.85,5,7.88755
40,3,3.19
29.9,4.5,4.6581
40.67,7,9.55844
47.36,8,9.57192
49.05,2,3.03015
27.27,7,6.45456
36.12,8,7.67132
46.64,8,9.46608
31.39,7,7.48626
24.33,5,7.68839
38.54,2,2.31692
37.66,2,2.23068
26.91,6,9.51064
31.27,4.5,4.72858
35.99,2,2.06702
45.73,3,3.83749
44.85,4.5,5.65105
37.31,2,2.19638
40.37,5,11.25553
40.32,5,11.25208
29.51,3,2.10171
31.33,4.5,4.73182
25.54,7,6.00372
25.06,2,0.74888
43.4,6,15.1268
30.13,4.5,4.66702
25.92,2,0.87616
30.31,2,1.51038
41.3,3,3.3369
49.36,7,10.70552
27.76,6.5,7.7136
40.01,6.5,11.38098
20.84,7,4.7789
26.29,7,6.19917
49.34,4.5,6.06862
32.78,6,11.60648
31.24,5,10.02988
32.15,8,6.83365
27.75,6.5,7.71125
27.06,3,1.56026
25.81,8,5.00149
48.18,6.5,12.18164
31.62,5,10.08194
35.13,5,10.56281
33.08,4.5,4.82632
28.3,6,9.9332
31.65,8,6.72815
32.65,4.5,4.8031
21.72,6.5,6.2942
37.44,2,2.20912
31.93,2,1.66914
26.62,2,0.97976
37.58,5,10.89846
43.34,2,2.67042
20.35,4.5,4.47665
48.65,3,4.16745
28.28,2,1.22544
35.89,2,2.05722
34.27,7,8.14981
45.24,6.5,11.89352
47.98,7,10.52336
49.44,7,10.71608
22.12,3,0.46852
22.82,3,0.62322
21.01,7,4.82321
20.04,7,4.57042
38.96,4.5,5.14384
29.63,6,10.33752
49.24,6,16.01448
29.81,6,10.39224
33.88,7,8.05995
41.45,6.5,11.5221
30.56,2,1.53488
44.58,4.5,5.62594
42.6,7,9.8132
20.06,6.5,5.9041
48.81,6,15.94912
23.74,5,7.46242
37.98,5,10.95326
28.26,6,9.92104
21.95,8,3.73155
34.95,5,10.53815
34.71,6,12.40936
47.87,4.5,5.93191
37.3,5,10.8601
22.65,2,0.3922
24.44,5,7.73052
24.59,7,5.75615
38.33,2,2.29634
35.86,3,2.78428
28.89,4.5,4.63891
37.6,4.5,5.0704
34.74,7,8.2581
40.54,2,2.49402
32.44,4.5,4.79176
46.82,6,15.64664
36.7,6,13.2372
28.61,6,10.02744
38.5,6.5,10.909
48.57,5,11.82133
30.81,3,2.28938
22.44,2,0.36112
35.28,6.5,9.89792
38.54,6,14.00264
34.99,2,1.96902
33.44,8,7.10584
42.88,3,3.51544
22.97,3,0.65637
37.11,3,2.90678
27.29,5,8.82207
46.32,7,10.30424
47.13,5,11.72197
44,2,2.712
49.78,2,3.07614
24.59,4.5,4.55721
37.06,6.5,10.45684
42.86,2,2.64018
24.07,8,4.42903
34.74,2,1.94452
23.68,5,7.43944
49.97,8,9.95559
22.38,6.5,6.4493
48.42,3,4.14146
46.54,2,2.87202
21.68,6,7.92072
20.52,6.5,6.0122
23.6,6,8.5044
44.88,6.5,11.85824
47.89,3,4.08157
35.41,4.5,4.95214
41.19,8,8.66493
24.35,8,4.52115
44.36,8,9.13092
20.15,7,4.59909
47.23,8,9.55281
25.77,8,4.98833
39.95,6.5,11.3643
30.7,8,6.5277
38.45,5,11.01765
32.96,5,10.26552
29.41,5,9.63403
39.18,4.5,5.15572
35.78,7,8.49771
44.7,8,9.1809
23.01,6,8.32504
22.23,6,8.08792
29.11,6,10.17944
41.7,3,3.3821
49.79,4.5,6.11047
30.12,6,10.49992
46.18,6.5,11.98564
35.8,8,7.6038
22.13,3,0.47073
46.97,2,2.89911
47.31,8,9.56457
26.55,2,0.9694
48.58,6.5,12.22084
28.51,4.5,4.63169
21.41,7,4.92745
27.69,5,8.97527
43.94,4.5,5.56642
34.29,4.5,4.89166
39.28,6.5,11.15392
34.94,2,1.96412
21.67,2,0.24716
45.11,3,3.76743
23.5,6.5,6.7125
22.89,4.5,4.52491
29.69,3,2.14149
46.41,7,10.31612
45.19,2,2.78697
46.07,6,15.53264
23.44,8,4.22176
34.18,2,1.88964
28.96,8,6.03784
44.17,6.5,11.78866
22.72,8,3.98488
27.11,7,6.41287
45.85,2,2.82855
46.66,6,15.62232
31.49,6.5,8.70786
28.31,6,9.93624
27.04,3,1.55584
27.83,6.5,7.73005
45.9,4.5,5.7487
26.5,3,1.4365
41.85,4.5,5.37205
32.27,5,10.17099
46.76,2,2.88588
28.34,4.5,4.62846
23.02,6.5,6.5997
21.85,8,3.69865
45.47,7,10.19204
27.89,4.5,4.61991
22.76,6,8.24904
42.57,7,9.80924
32.09,8,6.82099
40.08,8,8.50176
20.36,8,3.20844
49.98,6.5,12.35804
37.77,4.5,5.07958
33.64,2,1.83672
27.46,6,9.67784
20.11,2,0.01628
35.81,7,8.50462
47.93,7,10.51676
27.58,3,1.67518
21.92,6,7.99368
42.6,3,3.4838
33.27,6,11.81032
36.92,8,7.84012
31.26,4.5,4.72804
22.4,3,0.5304
40.32,2,2.48016
48.75,8,9.77625
34.78,4.5,4.91812
32.76,6.5,9.10664
47.84,6,15.80168
46.76,6.5,12.04248
35.96,5,10.67652
25.91,6.5,7.27885
32.7,3,2.4746
37.16,6,13.42856
23.84,5,7.50072
43.35,7,9.9122
46.32,2,2.85816
23.76,4.5,4.54144
27.92,6.5,7.7512
20.61,7,4.71897
46.71,6,15.62992
46.63,8,9.46461
39.41,7,9.33406
49.98,5,11.91862
44.66,7,10.08512
34.3,7,8.15672
36.26,6,13.05416
34.17,3,2.61866
45.46,7,10.19072
29.59,2,1.41932
23.47,6,8.46488
48.1,5,11.7889
28.64,6.5,7.9204
25.72,6,9.14888
48.85,2,3.01755
30.62,6.5,8.43468
47.25,8,9.55575
46.99,8,9.51753
42.77,8,8.89719
21.46,3,0.32266
43.03,7,9.86996
23.9,6,8.5956
42.9,4.5,5.4697
41.24,3,3.33012
23.11,8,4.11319
40.73,7,9.56636
25.47,6,9.07288
23.26,8,4.16254
27.37,5,8.85271
28.21,8,5.79109
25.07,3,1.12047
33.04,7,7.86642
20.43,6.5,5.99105
41.17,8,8.66199
39.7,2,2.4306
31.67,7,7.55077
47.33,6,15.72416
48.48,6.5,12.21104
38.23,5,10.98751
39.79,3,3.16942
40.54,4.5,5.25022
38.11,3,3.00478
29.3,4.5,4.6467
46.28,2,2.85564
44.73,6.5,11.84354
45.51,7,10.19732
20.63,4.5,4.48197
47.38,6,15.73176
37.16,5,10.84092
42.26,2,2.60238
28.45,5,9.26635
25.34,2,0.79032
48.71,3,4.17423
23.54,3,0.78234
20.85,3,0.18785
27.91,4.5,4.62029
25.11,6,8.96344
28.75,3,1.93375
39.84,4.5,5.19136
25.06,4.5,4.56614
37.78,6,13.68648
27.72,7,6.57183
25,4.5,4.565
47.32,4.5,5.88076
30.35,5,9.90795
27.11,3,1.57131
29.42,6.5,8.1037
22.88,4.5,4.52472
30.56,7,7.29502
44.42,8,9.13974
25.5,5,8.1365
32.57,3,2.46186
41.6,8,8.7252
40.28,5,11.24932
28.58,4.5,4.63302
29.28,6,10.23112
38.89,6.5,11.03146
37.55,7,8.90552
39.11,2,2.37278
29.39,6.5,8.09665
39.51,3,3.14198
46.81,3,3.95953
47.57,2,2.93691
36.57,8,7.76627
